instance,status,variables,clauses,conflicts,decisions,propagations,memory_mb,cpu_time_s
b2c1bf2bfc4e44068faff290a6b14f15-okgen-c1575-v450-s1506441435-1506441435,SATISFIABLE,450,1575,2546,3905,176171,11.04,0.027755
91d6a078176e451b3abac9699638228e-unif-k6-r43.37-v89-c3860-S1218289508879442649,TIMEOUT,89,3860,3440177,4001519,47905561,14.8,59.995
42efc6c698d287932a883db10d28e515-fdmus_b14_141,UNSATISFIABLE,3534,9636,13514,29912,1096593,12.16,0.175171
9f69f442f67bc9b274ccfe1bc56502f2-unif-k6-r40.0-v400-c16000-S8563806982136221152,TIMEOUT,400,16000,1314927,1912810,52960735,53.15,59.9217
160ccc349f25068fdd902c067eeb0cb1-fla-550-9,TIMEOUT,550,2425,3289465,4190642,235891643,14.96,59.9843
3e4d4a6a1d1b2928071f18382ba216ab-5col140_15_10.shuffled,TIMEOUT,420,5531,2520079,3242363,152418780,19.91,59.9715
57aec7caca0e877196ca8a07a51a0e1b-unif-k5-r21.117-v540-c11403-S5955214796121725857,TIMEOUT,540,11403,1445923,2142711,78260426,35.66,59.9461
ac7947fe19b908c0fd89a1168e610d1e-OKgenerator_s0=32s1=36n=800l=5cp=16000-Dnr0=0nr1=3-o.shuffled-as.sat05-1564,TIMEOUT,800,16000,1112079,1805401,79575054,71.74,59.9158
b72d578dcad4ad99d9da2a3818fbac54-bench_2530.smt2,SATISFIABLE,25148,82528,155070,331359,50781166,43.92,9.70276
8767146fb98e343b60a69b29241774aa-OKgenerator_s0=32s1=40n=4000l=3cp=16800-Dnr0=0nr1=1-o.shuffled-as.sat05-1678,TIMEOUT,4000,16800,906518,1750221,251865169,90.18,59.9157
6bde42c3d30c7bcf44f3bc21c800e883-unif-c1400-v400-s1541435374,SATISFIABLE,400,1400,408,714,25838,10.91,0.003374
bce2999ca7e5817b9103cf821b33cc49-hidden-k3-s2-r5-n550-01-S680234962.shuffled-as.sat03-1055,TIMEOUT,550,2750,3331012,4172638,225121049,14.88,59.9671
043f806db615f7a138d4beffe3367c1a-frb45-21-1.used-as.sat04-883,TIMEOUT,945,61855,360910,643631,38507097,124.12,59.8862
c68a32ccdf3b1c94c2f5441a4079d2a9-x9-03030.sat.sanitized,SATISFIABLE,150,1352,623,818,27217,10.91,0.006404
1b8d6f1e4dba280491803ad053e9fa54-fdmus_b20_113,UNSATISFIABLE,5619,15491,28277,71928,2111117,13.12,0.344775
09d018f3921c5d6c99146320801eddf4-bench_11006.smt2,UNSATISFIABLE,27155,84384,137355,180832,35707525,35.0,11.6439
6fbb18675849e8d9355693648521c074-gencnf-k6-r44.3-v123-c5448-02-S1815919685.used-as.sat04-222,TIMEOUT,123,5448,2829024,3387971,49325269,18.98,59.9899
0ee3e76605da137155ba7b4f9d898eab-unif-k3-r4.25-v540-c2295-S2037268960-098,TIMEOUT,540,2295,3531677,4488889,259113342,14.5,59.9752
